triplet	gv	count	expected	ratio
יהו	21	728	96.6	7.535
הוה	16	677	85.8	7.886
אשר	501	659	27.4	24.072
אלה	36	506	58.4	8.662
ואת	407	497	53.0	9.375
אתה	406	473	48.7	9.713
אמר	241	472	25.4	18.594
יםו	56	390	36.6	10.663
האל	36	356	58.4	6.094
הוא	12	352	82.8	4.252
והא	12	352	82.8	4.252
בני	62	340	18.2	18.639
ראל	231	313	37.8	8.275
להי	45	313	68.2	4.591
שרא	501	297	27.4	10.849
ויא	17	270	93.2	2.898
דבר	206	269	7.5	35.930
ניי	70	265	35.2	7.537
םוי	56	263	36.6	7.191
משה	345	262	22.6	11.590
היה	20	261	88.8	2.941
רים	250	257	21.8	11.816
יאמ	51	252	44.1	5.711
ארץ	291	249	1.8	137.179
הוי	21	233	96.6	2.411
מים	90	216	17.3	12.471
אלי	41	216	65.7	3.285
עלה	105	209	24.3	8.609
פני	140	209	4.8	43.541
ישר	510	205	32.0	6.416
ווי	22	203	105.2	1.930
אתכ	421	200	15.0	13.363
ואל	37	198	63.6	3.113
יםא	51	192	32.4	5.927
ולא	37	189	63.6	2.972
ריה	215	187	57.5	3.254
איש	311	184	47.6	3.866
לאת	431	183	37.4	4.892
ליה	45	181	68.2	2.655
יהי	25	180	99.9	1.802
יוו	22	175	105.2	1.664
האת	406	175	48.7	3.594
אתא	402	173	47.0	3.684
האר	206	172	49.2	3.493
לפנ	160	169	3.3	51.580
לאי	41	168	65.7	2.555
כלה	55	164	18.6	8.808
ויש	316	163	53.7	3.034
ליו	46	163	74.2	2.196
םאת	441	160	18.4	8.680
אתו	407	158	53.0	2.980
שרי	510	158	32.0	4.945
עלי	110	158	27.3	5.783
יכם	70	153	10.3	14.818
יהם	55	151	33.6	4.495
והו	17	151	93.5	1.616
ייש	320	151	55.5	2.719
והי	21	149	96.6	1.542
ויה	21	148	96.6	1.532
אתי	411	148	54.8	2.700
אבי	13	146	50.0	2.921
נים	100	144	11.8	12.178
תכל	450	142	11.9	11.909
הלא	36	141	58.4	2.414
שים	350	140	18.7	7.495
ניו	66	139	34.0	4.087
היו	21	138	96.6	1.428
שני	360	137	17.4	7.887
וכל	56	134	20.3	6.611
מצר	330	134	2.8	48.625
שבע	372	132	10.3	12.865
עשה	375	131	17.6	7.456
םאש	341	131	16.0	8.185
נהו	61	130	30.2	4.302
ייה	25	130	99.9	1.301
אתם	441	129	18.4	6.998
ברי	212	129	33.6	3.845
למש	370	129	17.4	7.428
יום	56	128	36.6	3.500
םוא	47	128	31.3	4.085
אכל	51	128	18.0	7.129
לאמ	71	126	30.1	4.183
ימי	60	124	51.5	2.408
אלא	32	124	56.3	2.201
תהא	406	123	48.7	2.526
שהו	311	123	47.7	2.577
ראש	501	123	27.4	4.493
עבד	76	122	4.6	26.328
האש	306	121	42.3	2.862
צרי	300	120	6.0	19.947
לאש	331	119	32.5	3.663
אתב	403	119	28.4	4.185
שהא	306	117	42.3	2.767
זבח	17	117	0.9	125.984
להא	36	116	58.4	1.986
עשו	376	114	19.1	5.960
אלמ	71	113	30.1	3.752
יםל	80	112	25.8	4.340
כםו	66	112	10.0	11.214
קדש	404	112	1.8	60.737
מרא	241	111	25.4	4.373
ניה	65	111	31.2	3.553
פרע	350	110	3.1	34.989
אהר	206	110	49.2	2.234
תאת	801	109	31.2	3.495
ובנ	58	109	17.6	6.177
לבנ	82	109	12.5	8.754
ועל	106	108	26.4	4.086
םלא	71	108	22.1	4.884
אלו	37	106	63.6	1.667
אחר	209	106	12.6	8.403
ראת	601	105	31.5	3.330
הים	55	103	33.6	3.066
ביו	18	103	56.4	1.826
כלא	51	103	18.0	5.736
קרא	301	102	8.2	12.371
יםב	52	102	19.6	5.200
בית	412	102	33.2	3.074
לאה	36	101	58.4	1.729
לוי	46	100	74.2	1.347
להמ	75	100	31.2	3.202
ויק	116	98	16.2	6.057
רעה	275	98	20.5	4.790
תיו	416	98	61.9	1.584
ויע	86	97	38.7	2.505
תיה	415	97	56.8	1.707
מרי	250	96	29.6	3.240
יוא	17	96	93.2	1.030
עשר	570	96	11.4	8.439
הכה	30	96	24.2	3.961
םאל	71	95	22.1	4.296
יםה	55	95	33.6	2.828
לכל	80	95	14.3	6.641
שמע	410	95	9.1	10.487
שנה	355	95	15.4	6.156
ירא	211	94	55.4	1.696
קרב	302	94	5.0	18.828
תהי	415	93	56.8	1.636
תוו	412	93	59.9	1.554
ווא	13	93	90.1	1.032
וםה	51	91	32.5	2.800
העל	105	91	24.3	3.749
אחי	19	91	21.9	4.150
אתע	471	91	19.5	4.663
מןה	95	90	6.2	14.548
יוי	26	90	108.7	0.828
אחד	13	90	4.9	18.394
באר	203	90	28.7	3.130
אהל	36	90	58.4	1.541
שהל	335	90	33.7	2.672
אלב	33	90	34.1	2.638
אתש	701	89	27.1	3.287
להם	75	89	22.9	3.881
םוה	51	89	32.5	2.739
יני	70	88	35.2	2.503
נשי	360	88	17.4	5.066
בעי	82	88	20.8	4.237
משפ	420	88	3.5	25.334
הרן	255	88	7.8	11.327
ועד	80	88	8.6	10.186
ויב	18	87	56.4	1.542
לכם	90	87	7.0	12.344
אתמ	441	87	25.1	3.465
תוא	407	86	53.0	1.622
הזה	17	86	6.2	13.855
והנ	61	85	30.2	2.813
אבר	203	85	28.7	2.957
חטא	18	85	1.3	67.768
תהו	411	84	55.0	1.528
ברא	203	83	28.7	2.887
אשה	306	83	42.3	1.963
ריב	212	83	33.6	2.474
ישא	311	83	47.6	1.744
ואו	13	83	90.1	0.921
העם	115	83	12.0	6.939
ואי	17	82	93.2	0.880
שרה	505	82	28.4	2.889
ישב	312	81	28.8	2.811
יבא	13	81	50.0	1.621
חרי	218	81	14.7	5.502
להו	41	80	66.0	1.213
תםא	441	80	18.4	4.340
יםע	120	80	13.5	5.942
שלח	338	80	8.6	9.269
חמש	348	80	5.8	13.812
םעל	140	80	9.2	8.706
מרו	246	80	28.7	2.792
ברה	207	80	29.8	2.683
תבנ	452	80	10.4	7.708
כהן	75	80	3.7	21.692
אוא	8	79	79.8	0.990
הםו	51	79	32.5	2.431
היך	35	79	10.6	7.442
יעש	380	78	19.8	3.944
תיא	411	78	54.8	1.423
יאת	411	78	54.8	1.423
ינו	66	78	34.0	2.294
ויצ	106	77	10.1	7.612
נוו	62	77	32.9	2.341
יול	46	77	74.2	1.037
להע	105	77	24.3	3.172
רוא	207	77	53.6	1.437
יעק	180	77	6.0	12.928
השמ	345	76	22.6	3.362
תעש	770	76	11.3	6.755
מאו	47	76	42.7	1.781
רלא	231	76	37.8	2.009
ויר	216	75	62.6	1.199
מהו	51	75	44.3	1.694
הנה	60	75	27.8	2.702
יקר	310	75	9.6	7.794
כיא	31	75	26.3	2.851
ואמ	47	75	42.7	1.757
ובי	18	74	56.4	1.312
תהמ	445	74	26.0	2.842
יךו	36	74	11.6	6.403
הכי	35	74	27.3	2.713
שלש	630	74	18.7	3.951
רבע	272	74	11.9	6.194
ראה	206	74	49.2	1.503
מלא	71	73	30.1	2.424
וית	416	73	61.9	1.180
עשי	380	73	19.8	3.691
הבי	17	73	51.8	1.409
שתי	710	73	31.6	2.310
ותו	412	73	59.9	1.220
אות	407	73	53.0	1.377
פחת	488	73	2.0	36.719
עקב	172	73	3.1	23.623
תחת	808	72	8.3	8.690
בקר	302	72	5.0	14.421
אאת	402	72	47.0	1.533
לוא	37	72	63.6	1.132
תםו	446	72	20.8	3.460
בוא	9	72	48.3	1.489
כיי	40	72	30.7	2.345
יוס	76	72	7.8	9.278
כאש	321	71	13.0	5.463
ןוי	66	70	14.7	4.761
ריו	216	70	62.6	1.119
שרע	570	70	11.4	6.153
ראו	207	70	53.6	1.306
ההו	16	70	85.8	0.815
ותא	407	70	53.0	1.320
עיר	280	70	23.0	3.040
אני	61	70	30.1	2.324
תאש	701	70	27.1	2.585
הלמ	75	70	31.2	2.241
המש	345	70	22.6	3.097
ואש	307	69	46.0	1.499
בכל	52	69	10.9	6.346
שפח	388	69	1.7	39.971
בתי	412	69	33.2	2.079
ניא	61	69	30.1	2.290
יםמ	90	68	17.3	3.926
וכי	36	68	29.7	2.290
יםש	350	68	18.7	3.640
כלי	60	68	21.0	3.245
תימ	450	68	29.3	2.321
שמר	540	68	14.6	4.646
תנו	456	68	19.4	3.514
בדי	16	67	13.0	5.148
רעל	300	67	15.7	4.263
ושמ	346	67	24.6	2.722
ידב	16	67	13.0	5.148
תול	436	66	42.2	1.563
רבו	208	66	32.5	2.033
בתו	408	66	32.1	2.056
ארב	203	66	28.7	2.296
ואב	9	66	48.3	1.365
ותה	411	66	55.0	1.201
והל	41	66	66.0	1.001
שרל	530	66	21.8	3.026
םול	76	66	25.0	2.644
והב	13	66	50.1	1.317
פוי	96	65	14.8	4.378
הלי	45	65	68.2	0.953
ולי	46	65	74.2	0.876
ישמ	350	65	25.4	2.555
ורא	207	65	53.6	1.213
עים	120	65	13.5	4.828
םכי	70	65	10.3	6.295
אוב	9	65	48.3	1.345
מזב	49	65	1.9	34.783
תהל	435	64	38.8	1.650
עינ	130	64	12.5	5.113
תכם	460	64	5.9	10.894
טאת	410	64	3.1	20.416
יתא	411	64	54.8	1.168
והמ	51	63	44.3	1.423
הול	41	63	66.0	0.955
יצא	101	63	9.0	7.031
ידו	20	63	24.3	2.596
חיו	24	63	24.8	2.545
הוב	13	63	50.1	1.257
יהא	16	63	85.6	0.736
יתו	416	63	61.9	1.018
שרת	900	63	18.2	3.466
עבר	272	63	11.9	5.273
ילא	41	62	65.7	0.943
ויד	20	62	24.3	2.555
יאל	41	62	65.7	0.943
האח	14	62	19.5	3.182
אתנ	451	62	17.1	3.617
רית	610	62	36.8	1.685
צוה	101	62	9.0	6.898
מרת	640	62	16.9	3.678
עדה	79	62	7.9	7.813
תהע	475	62	20.2	3.064
רצו	296	61	5.8	10.483
ויח	24	61	24.8	2.464
ונת	456	61	19.4	3.152
טמא	50	61	2.5	24.169
רוי	216	60	62.6	0.959
תוי	416	60	61.9	0.970
חתה	413	60	12.9	4.637
תאל	431	60	37.4	1.604
רהם	245	60	19.3	3.105
תהש	705	59	28.1	2.101
נימ	100	59	16.1	3.663
בנו	58	59	17.6	3.344
להב	37	59	35.4	1.668
תאב	403	59	28.4	2.075
למו	76	59	34.0	1.735
נפש	430	58	2.4	24.458
מות	446	58	28.3	2.046
מאת	441	58	25.1	2.310
השב	307	58	25.6	2.265
הלכ	55	58	18.6	3.115
ביא	13	58	50.0	1.161
שית	710	57	31.6	1.804
מוע	116	57	17.7	3.214
ךאת	421	57	5.8	9.787
האד	10	57	19.1	2.985
ואר	207	57	53.6	1.063
ןאת	451	57	7.4	7.692
חנו	64	57	7.7	7.362
ושב	308	57	27.9	2.045
תהב	407	57	29.5	1.933
לאב	33	57	34.1	1.671
זרע	277	56	1.6	34.772
מעל	140	56	12.5	4.474
דני	64	56	7.8	7.138
באת	403	56	28.4	1.969
נוב	58	56	17.6	3.174
יהל	45	55	68.2	0.807
שרב	502	55	16.6	3.318
כלמ	90	55	9.6	5.729
יקח	118	55	3.8	14.443
עתה	475	55	20.2	2.718
ראי	211	55	55.4	0.993
מלך	90	55	3.7	14.723
ריע	280	54	23.0	2.345
האי	16	54	85.6	0.631
יתי	420	54	64.0	0.844
ובא	9	54	48.3	1.117
יוה	21	54	96.6	0.559
וים	56	54	36.6	1.476
איל	41	54	65.7	0.821
הקר	305	54	8.6	6.316
זהב	14	53	3.6	14.622
עתי	480	53	22.8	2.327
הלו	41	53	66.0	0.804
והכ	31	53	26.4	2.009
מרל	270	53	20.2	2.621
העד	79	53	7.9	6.679
דיו	20	53	24.3	2.184
תםל	470	53	14.7	3.609
םשנ	390	52	5.8	8.901
והש	311	52	47.7	1.089
יוב	18	52	56.4	0.922
באו	9	52	48.3	1.076
עהו	81	52	34.4	1.512
והק	111	52	14.4	3.617
קום	146	52	5.4	9.555
רץמ	330	52	1.0	53.584
לול	66	52	50.7	1.026
םוע	116	52	13.0	3.993
ווה	17	52	93.5	0.556
כםא	61	52	8.8	5.878
שוא	307	52	46.0	1.130
אאל	32	51	56.3	0.905
שמי	350	51	25.4	2.005
רבי	212	51	33.6	1.520
לאר	231	51	37.8	1.348
רהו	211	51	55.6	0.918
לקח	138	51	2.6	19.620
מרה	245	51	26.3	1.938
אשת	701	51	27.1	1.884
בעת	472	51	11.8	4.316
יבנ	62	51	18.2	2.796
עלכ	120	51	7.5	6.835
ואם	47	51	31.3	1.627
עמי	120	51	18.3	2.781
וסף	146	51	0.2	249.818
קרי	310	50	9.6	5.196
תעל	500	50	15.5	3.216
שאת	701	50	27.1	1.847
מתו	446	50	28.3	1.764
רות	606	50	35.6	1.405
תוב	408	50	32.1	1.558
רתי	610	50	36.8	1.359
וימ	56	50	49.8	1.004
הםא	46	50	28.8	1.737
לאח	39	50	15.0	3.340
אחת	409	50	12.5	4.007
לתו	436	50	42.2	1.184
וול	42	50	71.8	0.696
אנכ	71	50	8.2	6.078
רתה	605	50	32.7	1.529
ערי	280	50	23.0	2.171
אדנ	55	50	6.7	7.439
תןל	480	50	5.9	8.470
ערב	272	49	11.9	4.101
הוע	81	49	34.4	1.424
יתה	415	49	56.8	0.862
יבי	22	49	58.3	0.840
ואח	15	49	21.2	2.310
ותי	416	49	61.9	0.792
תוע	476	49	22.0	2.224
מקו	146	49	7.4	6.611
אלפ	111	49	9.0	5.459
שכן	370	49	2.1	23.895
תמש	740	49	14.5	3.385
פרי	290	48	8.8	5.436
דים	54	48	8.4	5.690
הבה	12	48	46.0	1.042
שבי	312	48	28.8	1.666
בהמ	47	48	23.7	2.022
שרנ	550	48	10.0	4.804
ויל	46	48	74.2	0.647
כלב	52	48	10.9	4.415
ברו	208	48	32.5	1.479
תוה	411	48	55.0	0.873
ועש	376	48	19.1	2.509
ורו	212	47	60.5	0.777
ךוי	36	47	11.6	4.067
היכ	35	47	27.3	1.723
לאכ	51	47	18.0	2.618
יהע	85	47	35.6	1.322
ניך	80	47	3.7	12.579
יךא	31	47	10.2	4.591
לאל	61	47	44.9	1.047
הבא	8	47	44.4	1.058
אבת	403	47	28.4	1.653
יומ	56	47	49.8	0.943
נחל	88	47	5.5	8.603
כלת	450	47	11.9	3.942
למי	80	46	35.2	1.309
רץו	296	46	2.0	22.448
דהו	15	46	21.6	2.134
בשר	502	46	16.6	2.775
כלו	56	46	20.3	2.269
זאת	408	46	3.8	12.000
שרצ	590	46	3.0	15.477
הכל	55	46	18.6	2.471
תוכ	426	46	16.9	2.722
ויו	22	46	105.2	0.437
תאמ	441	46	25.1	1.832
יאכ	31	46	26.3	1.749
ישל	340	46	37.9	1.213
המז	52	46	3.2	14.374
ץמצ	220	46	0.2	293.141
הדב	11	46	11.6	3.978
ךלא	51	46	7.0	6.583
תיכ	430	46	17.5	2.633
ולע	106	46	26.4	1.741
יםכ	70	45	10.3	4.358
םהש	345	45	16.6	2.711
ומת	446	45	28.3	1.588
ספר	340	45	0.6	71.417
לנו	86	45	23.2	1.939
נוא	57	45	29.1	1.544
ביד	16	45	13.0	3.458
השל	335	45	33.7	1.336
ולמ	76	44	34.0	1.294
יםי	60	44	37.8	1.164
םוב	48	44	19.0	2.319
יךל	60	44	8.2	5.396
ואה	12	44	82.8	0.531
האמ	46	44	39.2	1.122
תים	450	44	21.5	2.045
למע	140	44	12.5	3.515
רץא	291	44	1.8	24.241
בול	38	44	38.5	1.143
הער	275	44	20.5	2.151
תהכ	425	44	15.5	2.835
רןו	256	44	8.5	5.202
לךו	56	44	7.9	5.578
לוו	42	44	71.8	0.613
יבו	18	44	56.4	0.780
מטה	54	44	2.6	16.812
ילה	45	43	68.2	0.631
לבי	42	43	39.8	1.080
ליל	70	43	52.4	0.821
יות	416	43	61.9	0.695
מצא	131	43	4.1	10.476
ליך	60	43	8.2	5.273
שוב	308	43	27.9	1.543
המק	145	43	6.8	6.316
יתן	460	43	8.6	4.972
וןו	62	43	14.2	3.024
נהא	56	43	26.8	1.607
מצו	136	43	4.6	9.280
ובמ	48	42	25.8	1.625
עמד	114	42	4.1	10.265
תםב	442	42	11.2	3.763
םאח	49	42	7.4	5.695
דול	40	42	16.6	2.536
ניכ	80	42	9.6	4.374
שבת	702	42	16.4	2.562
המל	75	42	31.2	1.345
מדב	46	42	6.0	7.045
לפי	120	42	10.5	4.009
שפט	389	42	0.4	96.836
שהה	310	42	43.8	0.958
שמו	346	42	24.6	1.707
לבן	82	42	5.4	7.803
בגד	9	42	0.9	48.189
מחנ	98	42	3.7	11.455
הקד	109	42	3.3	12.664
והע	81	41	34.4	1.192
רמש	540	41	14.6	2.801
אדם	45	41	7.2	5.672
הור	211	41	55.6	0.738
תתי	810	41	36.4	1.127
ץאש	391	41	1.6	26.302
שתו	706	41	30.6	1.341
ולב	38	41	38.5	1.065
םונ	96	41	11.4	3.585
ךוה	31	41	10.3	3.993
עוד	80	41	8.6	4.746
כפר	300	41	2.4	17.004
ויס	76	41	7.8	5.283
להכ	55	41	18.6	2.202
כרת	620	41	10.0	4.080
כסף	160	41	0.1	711.371
ןוא	57	41	12.6	3.255
ביה	17	41	51.8	0.791
דיה	19	41	22.3	1.840
הונ	61	41	30.2	1.357
קדי	114	41	3.7	10.985
משכ	360	41	6.9	5.901
שמן	390	41	3.4	11.919
נית	460	40	20.0	2.000
בין	62	40	7.9	5.072
בוי	18	40	56.4	0.709
לים	80	40	25.8	1.550
מנו	96	40	15.6	2.568
אין	61	40	13.0	3.071
כלע	120	40	7.5	5.361
ותל	436	40	42.2	0.947
ידע	84	40	8.9	4.479
יהכ	35	40	27.3	1.466
מנח	98	40	3.7	10.910
ןאל	81	40	8.9	4.500
מרמ	280	40	13.6	2.947
ילד	44	40	17.1	2.336
תמי	450	40	29.3	1.365
ךוא	27	40	9.9	4.040
להל	65	40	46.5	0.859
ברכ	222	40	9.2	4.365
אהו	12	40	82.8	0.483
שמה	345	40	22.6	1.769
אתק	501	40	8.2	4.905
יחנ	68	40	8.0	4.998
עלפ	180	39	3.7	10.455
יהמ	55	39	45.8	0.852
בוו	14	39	54.6	0.715
שות	706	39	30.6	1.276
םהא	46	39	28.8	1.355
כימ	70	39	14.1	2.773
נכי	80	39	9.6	4.062
רבה	207	39	29.8	1.308
לעל	130	39	18.6	2.091
הלך	55	39	7.2	5.383
תשמ	740	39	14.5	2.694
ירד	214	39	14.4	2.703
ולה	41	39	66.0	0.591
הםל	75	39	22.9	1.701
חדש	312	39	2.8	13.824
השנ	355	39	15.4	2.527
דשי	314	39	12.4	3.147
נתת	850	39	11.4	3.427
נתן	500	39	2.7	14.420
רדב	206	39	7.5	5.209
אלכ	51	39	18.0	2.172
ךאש	321	39	5.1	7.712
בעל	102	39	14.2	2.751
כםל	90	39	7.0	5.534
כםב	62	39	5.4	7.280
אהא	7	38	73.3	0.518
רתו	606	38	35.6	1.068
שדה	309	38	11.0	3.451
אלע	101	38	23.4	1.623
העמ	115	38	16.3	2.332
הות	411	38	55.0	0.691
יכל	60	38	21.0	1.813
ושל	336	38	36.7	1.036
בעמ	112	38	9.5	3.994
ניב	62	38	18.2	2.083
הומ	51	38	44.3	0.859
זכר	227	38	1.2	30.764
םומ	86	38	16.8	2.268
ליש	340	38	37.9	1.002
אתת	801	38	31.2	1.219
יאה	16	38	85.6	0.444
אשו	307	38	46.0	0.826
ראנ	251	38	17.3	2.193
הרא	206	38	49.2	0.772
סףא	141	38	0.2	210.138
גדל	37	37	1.1	32.268
לעש	400	37	13.5	2.741
בעה	77	37	18.5	2.005
תאכ	421	37	15.0	2.472
דוא	11	37	20.8	1.780
אדמ	45	37	9.8	3.758
חלו	44	37	16.9	2.190
נות	456	37	19.4	1.912
בעו	78	37	20.1	1.842
שהע	375	37	17.6	2.106
רהא	206	37	49.2	0.751
גוי	19	37	7.3	5.081
ריא	211	37	55.4	0.668
עלא	101	37	23.4	1.580
דרך	224	37	1.5	24.128
ליא	41	37	65.7	0.563
ריש	510	37	32.0	1.158
פקד	184	37	0.5	72.607
םיה	55	36	33.6	1.072
המי	55	36	45.8	0.787
דמה	49	36	10.2	3.526
חוא	15	36	21.2	1.697
ממנ	130	36	7.4	4.880
ערו	276	36	22.3	1.616
ולד	40	36	16.6	2.174
סוי	76	36	7.8	4.639
םוש	346	36	18.1	1.992
הרע	275	36	20.5	1.760
רבא	203	36	28.7	1.252
בהו	13	36	50.1	0.718
רוה	211	36	55.6	0.648
תעב	472	36	11.8	3.047
רימ	250	36	29.6	1.215
בלע	102	36	14.2	2.540
שתה	705	36	28.1	1.282
ךיה	35	36	10.6	3.391
דוי	20	36	24.3	1.484
עמו	116	36	17.7	2.030
זהו	18	36	6.8	5.327
הית	415	35	56.8	0.616
טוב	17	35	3.2	10.846
וצא	97	35	8.7	4.038
כבש	322	35	7.9	4.448
הזא	13	35	6.0	5.847
חלב	40	35	9.1	3.862
העש	375	35	17.6	1.992
ללא	61	35	44.9	0.780
חאת	409	35	12.5	2.805
משי	350	35	25.4	1.376
האנ	56	35	26.8	1.308
ותב	408	35	32.1	1.090
חתם	448	35	4.9	7.147
יאב	13	35	50.0	0.700
צחק	198	35	0.4	98.803
תיל	440	35	43.7	0.802
נול	86	35	23.2	1.508
עדת	474	35	5.1	6.887
תוך	426	34	6.6	5.171
וםו	52	34	35.4	0.961
ורה	211	34	55.6	0.612
צבא	93	34	4.6	7.314
ניש	360	34	17.4	1.957
איה	16	34	85.6	0.397
תיך	430	34	6.8	5.002
ואכ	27	34	25.4	1.336
אתל	431	34	37.4	0.909
בלו	38	34	38.5	0.883
הןו	61	34	13.1	2.603
תשב	702	34	16.4	2.074
רול	236	34	42.7	0.796
היר	215	34	57.5	0.592
ואא	8	34	79.8	0.426
ימו	56	34	49.8	0.683
יוש	316	34	53.7	0.633
ההר	210	34	51.1	0.666
נגע	123	34	0.8	40.557
הפר	285	34	7.8	4.334
הוד	15	34	21.6	1.577
ידי	24	34	25.1	1.355
אוי	17	34	93.2	0.365
באש	303	34	24.7	1.377
יךב	32	34	6.2	5.485
תהח	413	34	12.9	2.628
הוו	17	33	93.5	0.353
וםא	47	33	31.3	1.053
מאר	241	33	25.4	1.300
כלנ	100	33	6.6	5.035
לוה	41	33	66.0	0.500
היי	25	33	99.9	0.330
הרו	211	33	55.6	0.594
הוש	311	33	47.7	0.691
ברת	602	33	19.1	1.729
לדב	36	33	8.9	3.715
מעו	116	33	17.7	1.861
עלת	500	33	15.5	2.123
רבנ	252	33	10.5	3.145
תהה	410	33	50.5	0.654
הבנ	57	33	16.2	2.036
ולפ	116	33	10.1	3.256
יאש	311	33	47.6	0.693
ארצ	291	33	5.2	6.402
הלה	40	33	60.6	0.545
הנג	58	33	2.1	15.775
ועב	78	33	20.1	1.643
אנש	351	33	14.9	2.217
לתי	440	33	43.7	0.756
שכב	322	33	7.9	4.194
תקר	700	33	5.5	6.027
כית	430	33	17.5	1.889
לפר	310	33	6.0	5.475
למט	79	33	2.0	16.413
יאו	17	32	93.2	0.343
ראא	202	32	47.5	0.674
םבי	52	32	19.6	1.631
יעב	82	32	20.8	1.541
םלמ	110	32	11.8	2.707
יבר	212	32	33.6	0.954
רומ	246	32	28.7	1.117
לעב	102	32	14.2	2.257
אשמ	341	32	21.8	1.468
פרו	286	32	8.5	3.747
צאן	141	32	1.2	26.415
ומא	47	32	42.7	0.750
ותש	706	32	30.6	1.047
ימה	55	32	45.8	0.699
םהי	55	32	33.6	0.953
מתי	450	32	29.3	1.092
הבש	307	32	25.6	1.250
חתו	414	32	14.1	2.272
ובכ	28	32	15.4	2.077
תהנ	455	32	17.8	1.800
למל	100	32	24.0	1.334
רתא	601	32	31.5	1.015
אלת	431	32	37.4	0.855
הןא	56	32	11.6	2.765
אלף	111	32	1.7	18.501
ץוי	106	31	3.6	8.703
ולכ	56	31	20.3	1.529
דאת	405	31	12.2	2.535
לומ	76	31	34.0	0.912
נחש	358	31	4.0	7.840
שהכ	325	31	13.5	2.300
כיל	60	31	21.0	1.479
ותק	506	31	9.2	3.367
המה	50	31	40.7	0.763
חיך	38	31	2.7	11.398
אתח	409	31	12.5	2.485
יכי	40	31	30.7	1.010
תשנ	750	31	9.9	3.137
כיה	35	31	27.3	1.136
אלל	61	31	44.9	0.691
ךול	56	31	7.9	3.930
ויג	19	31	7.3	4.257
לרא	231	31	37.8	0.820
אוה	12	31	82.8	0.374
אים	51	31	32.4	0.957
כנע	140	31	3.4	9.068
ישכ	330	31	15.2	2.044
וחמ	54	31	11.3	2.734
אשי	311	31	47.6	0.651
נהב	57	31	16.2	1.913
איב	13	31	50.0	0.620
תםמ	480	31	9.9	3.146
לךא	51	31	7.0	4.437
מאד	45	31	9.8	3.149
רון	256	31	8.5	3.665
באה	8	31	44.4	0.698
ביע	82	31	20.8	1.493
המצ	135	31	4.3	7.283
ימצ	140	31	4.8	6.471
שער	570	31	11.4	2.725
תיר	610	31	36.8	0.842
מיד	54	31	11.5	2.698
צות	496	31	5.8	5.386
שאש	601	31	23.5	1.319
חיה	23	30	22.7	1.319
רעש	570	30	11.4	2.637
שמת	740	30	14.5	2.072
ומש	346	30	24.6	1.219
בהא	8	30	44.4	0.676
מכל	90	30	9.6	3.125
תות	806	30	35.2	0.852
אתר	601	30	31.5	0.952
תהת	805	30	32.3	0.928
יוע	86	30	38.7	0.775
מוא	47	30	42.7	0.703
שעי	380	30	19.8	1.517
שיה	315	30	49.3	0.608
פתח	488	30	2.0	15.090
הוכ	31	30	26.4	1.137
טהר	214	30	3.3	9.128
םבא	43	30	16.8	1.785
אתפ	481	30	7.5	4.009
שבו	308	30	27.9	1.076
כהו	31	30	26.4	1.137
חתי	418	30	14.6	2.060
קחא	109	30	3.3	9.194
בער	272	30	11.9	2.511
ואנ	57	30	29.1	1.030
לעי	110	30	27.3	1.098
להה	40	30	60.6	0.495
אבנ	53	30	15.6	1.919
יצח	108	30	2.4	12.601
לאנ	81	30	20.6	1.459
לחם	78	30	5.9	5.106
םלפ	150	30	3.5	8.514
היב	17	29	51.8	0.560
תהר	605	29	32.7	0.887
חדו	18	29	5.5	5.250
יםת	450	29	21.5	1.348
מינ	100	29	16.1	1.801
ישי	320	29	55.5	0.522
כלח	58	29	4.8	6.079
ךאל	51	29	7.0	4.150
שור	506	29	30.9	0.938
דעת	474	29	5.1	5.707
ובה	13	29	50.1	0.578
להש	335	29	33.7	0.861
יחי	28	29	25.6	1.133
דשו	310	29	12.0	2.419
ותע	476	29	22.0	1.316
יןו	66	29	14.7	1.972
יהש	315	29	49.3	0.588
שרו	506	29	30.9	0.938
עול	106	29	26.4	1.097
םאנ	91	29	10.1	2.862
נינ	110	29	11.0	2.637
חדל	42	29	3.9	7.440
שםו	346	29	18.1	1.605
תומ	446	29	28.3	1.023
שהב	307	29	25.6	1.133
תהק	505	29	8.5	3.429
הלפ	115	29	9.3	3.115
לאא	32	29	56.3	0.515
תיב	412	29	33.2	0.874
םכל	90	29	7.0	4.115
קרו	306	29	9.3	3.115
עםה	115	29	12.0	2.424
ניל	90	29	24.0	1.208
בדת	406	29	7.4	3.916
מאה	46	29	39.2	0.740
עומ	116	29	17.7	1.635
יתם	450	29	21.5	1.348
הפו	91	29	13.2	2.198
עור	276	29	22.3	1.302
הימ	55	28	45.8	0.612
המא	46	28	39.2	0.714
רעו	276	28	22.3	1.257
שיא	311	28	47.6	0.588
ךוב	28	28	6.0	4.670
יאי	21	28	96.3	0.291
הנפ	135	28	4.3	6.565
נשא	351	28	14.9	1.881
כרו	226	28	17.1	1.639
מהא	46	28	39.2	0.714
ההא	11	28	76.0	0.368
קני	160	28	5.2	5.352
ומה	51	28	44.3	0.633
יעל	110	28	27.3	1.025
בחו	16	28	12.8	2.180
ורב	208	28	32.5	0.863
ולו	42	28	71.8	0.390
ןוה	61	28	13.1	2.143
ניח	68	28	8.0	3.498
