triplet	gv	count	expected	ratio
נדי	64	3	7.8	0.382
רתז	607	3	2.6	1.166
תלז	437	3	3.1	0.982
הסי	75	3	7.1	0.421
תככ	440	3	4.8	0.629
צתז	497	3	0.4	7.209
ררב	402	3	19.3	0.155
כפו	106	3	4.1	0.740
נתע	520	3	7.1	0.421
וקם	146	3	5.4	0.551
מסע	170	3	1.3	2.293
שסע	430	3	1.4	2.126
מצה	135	3	4.3	0.705
יתת	810	3	36.4	0.082
רםה	245	3	19.3	0.155
הדש	309	3	11.0	0.272
רףא	281	3	1.5	2.058
ריט	219	3	3.7	0.811
בשפ	382	3	3.9	0.763
הסל	95	3	4.9	0.617
חהס	73	3	1.6	1.849
לשק	430	3	5.6	0.532
משת	740	3	14.5	0.207
ופש	386	3	7.3	0.409
שבח	310	3	6.6	0.457
וםק	146	3	5.4	0.551
כחט	37	3	0.4	7.504
דהח	17	3	5.1	0.591
וכש	326	3	14.7	0.204
לבט	41	3	2.3	1.317
יףא	91	3	2.5	1.184
וםצ	136	3	3.4	0.882
יחג	21	3	1.7	1.750
שחא	309	3	10.8	0.277
דשם	344	3	4.2	0.720
לבג	35	3	2.7	1.125
בבש	304	3	15.0	0.201
ילל	70	3	52.4	0.057
אלצ	121	3	6.1	0.491
ושק	406	3	8.0	0.375
שקץ	490	3	0.3	11.082
םיט	59	3	2.2	1.387
םיכ	70	3	10.3	0.291
עלג	103	3	1.8	1.640
גיר	213	3	4.3	0.693
הפש	385	3	6.7	0.445
דמד	48	3	2.6	1.170
אפש	381	3	6.5	0.462
הןס	115	3	1.0	3.113
םפש	420	3	2.6	1.176
כיצ	120	3	2.9	1.050
ערצ	360	3	2.1	1.401
גבח	13	3	0.9	3.374
רקר	500	3	5.5	0.542
צמר	330	3	2.8	1.089
רוצ	296	3	5.8	0.516
אםר	241	3	18.6	0.161
הצפ	175	3	1.3	2.365
גלח	41	3	1.2	2.564
מטמ	89	3	1.3	2.223
בוט	17	3	3.2	0.930
בנד	56	3	4.1	0.737
םטה	54	3	1.9	1.561
חדח	20	3	1.3	2.308
תגו	409	3	4.1	0.724
אזל	38	3	4.6	0.652
פוב	88	3	7.7	0.389
שמב	342	3	13.2	0.227
בנפ	132	3	2.5	1.205
הםק	145	3	5.0	0.600
ימס	110	3	3.7	0.816
רמך	260	3	3.1	0.953
תגז	410	3	0.3	10.014
בצד	96	3	1.2	2.478
קנך	170	3	0.6	5.396
גמו	49	3	3.3	0.899
שמז	347	3	1.8	1.686
מום	86	3	16.8	0.179
בתר	602	3	19.1	0.157
םמו	86	3	16.8	0.179
וקל	136	3	11.0	0.272
מתת	840	3	16.7	0.180
במע	112	3	9.5	0.315
גרכ	223	3	1.2	2.536
נזי	67	3	2.5	1.220
הסב	67	3	3.7	0.811
בגא	6	3	3.3	0.896
ץהא	96	3	2.8	1.070
עוס	136	3	2.8	1.086
ףחמ	128	3	0.3	9.727
ןכן	120	3	0.6	5.346
חלן	88	3	2.4	1.270
בןפ	132	3	1.1	2.786
תםר	640	3	12.4	0.242
דוח	18	3	5.5	0.543
םיס	110	3	2.7	1.112
ןחד	62	3	0.8	3.886
דקד	108	3	0.8	3.602
עדז	81	3	0.6	4.803
דקר	304	3	2.1	1.397
נטמ	99	3	0.9	3.257
זיר	217	3	4.5	0.663
ינז	67	3	2.5	1.220
ןגד	57	3	0.2	13.209
יככ	50	3	8.4	0.358
קעת	570	3	3.4	0.885
צצר	380	3	0.6	5.361
פהא	86	3	11.7	0.257
ברצ	292	3	3.1	0.961
בצר	292	3	3.1	0.961
תצל	520	3	4.1	0.739
לנס	140	3	1.7	1.752
הםר	245	3	19.3	0.155
םכר	260	3	5.9	0.505
גפה	88	3	0.9	3.285
תךת	820	3	3.9	0.776
זהי	22	3	7.0	0.429
צםא	131	3	3.0	0.995
קבכ	122	3	2.4	1.266
סלע	160	3	1.9	1.539
רגב	205	3	2.2	1.335
מעה	115	3	16.3	0.184
אממ	81	3	20.2	0.148
לנכ	100	3	6.6	0.458
תנך	470	3	2.1	1.411
צהה	100	3	8.3	0.363
